語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
聖徳太子,しょうとくたいし,飛鳥時代の摂政,聖徳太子は推古天皇の摂政として、冠位十二階や十七条憲法を制定し、遣隋使を派遣して中国の文化を取り入れた。法隆寺を建立したことでも知られる。,冠位十二階|十七条憲法|遣隋使|法隆寺,歴史-古代,人物名,,1
織田信長,おだのぶなが,戦国時代の武将,織田信長は戦国時代に天下統一を目指した武将。楽市楽座で経済を活性化し、鉄砲を効果的に使った長篠の戦いで武田軍を破った。本能寺の変で明智光秀に討たれた。,本能寺の変|長篠の戦い|楽市楽座|安土城,歴史-近世,人物名,,2
豊臣秀吉,とよとみひでよし,戦国時代から安土桃山時代の武将,豊臣秀吉は織田信長の後継者として天下統一を成し遂げた。太閤検地や刀狩を実施し、朝鮮出兵を行った。大阪城を築城し、桃山文化を花開かせた。,太閤検地|刀狩|朝鮮出兵|大阪城,歴史-近世,人物名,,2
源頼朝,みなもとのよりとも,鎌倉幕府の初代将軍,源頼朝は1192年に鎌倉幕府を開き、武家政権の基礎を築いた。源平合戦で平氏を滅ぼし、守護・地頭を設置して全国支配の仕組みを作った。,鎌倉幕府|守護・地頭|源平合戦|征夷大将軍,歴史-中世,人物名,,2
西郷隆盛,さいごうたかもり,明治維新の指導者,西郷隆盛は薩摩藩出身で、明治維新の三傑の一人。征韓論で政府と対立し、下野後は西南戦争を起こしたが敗れて自刃した。「西郷どん」として親しまれている。,明治維新|征韓論|西南戦争|三傑,歴史-近代,人物名,,3
伊藤博文,いとうひろぶみ,初代内閣総理大臣,伊藤博文は日本初の内閣総理大臣で、大日本帝国憲法の制定に中心的な役割を果たした。4度にわたり首相を務め、韓国統監も歴任した。ハルビン駅で暗殺された。,大日本帝国憲法|初代内閣総理大臣|韓国統監|ハルビン,歴史-近代,人物名,,3
平清盛,たいらのきよもり,平安時代末期の武将,平清盛は平氏政権を樹立し、武士として初めて太政大臣に就任した。日宋貿易で富を築き、娘を天皇の后にして権力を握った。源氏との対立が源平合戦につながった。,平氏政権|日宋貿易|太政大臣|源平合戦,歴史-中世,人物名,,2
足利義満,あしかがよしみつ,室町幕府第3代将軍,足利義満は室町幕府の全盛期を築いた将軍。南北朝を統一し、明との勘合貿易を開始した。金閣寺を建立し、北山文化を育てた。能楽の保護者としても知られる。,南北朝統一|勘合貿易|金閣寺|北山文化,歴史-中世,人物名,,2
大久保利通,おおくぼとしみち,明治政府の中心人物,大久保利通は明治維新の三傑の一人で、内務卿として殖産興業政策を推進した。廃藩置県や地租改正を実施し、近代国家の基礎を築いた。不平士族に暗殺された。,明治維新|殖産興業|廃藩置県|地租改正,歴史-近代,人物名,,3
板垣退助,いたがきたいすけ,自由民権運動の指導者,板垣退助は明治時代の政治家で、「板垣死すとも自由は死せず」の言葉で知られる。自由党を結成し、国会開設を求める自由民権運動を主導した。,自由民権運動|自由党|国会開設|民選議院設立建白書,歴史-近代,人物名,,3
東京都,とうきょうと,日本の首都,東京都は日本の政治・経済・文化の中心地で、人口約1400万人。23区と多摩地域、島しょ部から成る。国会議事堂、皇居、東京タワー、スカイツリーなどがある。,首都|23区|皇居|国会議事堂,地理-日本,地名,,1|2
大阪府,おおさかふ,西日本最大の都市,大阪府は近畿地方の中心で、人口約880万人。商業都市として栄え「天下の台所」と呼ばれた。大阪城、道頓堀、通天閣などの観光地がある。阪神工業地帯の中核。,天下の台所|大阪城|阪神工業地帯|商業都市,地理-日本,地名,,1|2
愛知県,あいちけん,中京工業地帯の中心,愛知県は中部地方に位置し、人口約755万人。名古屋市を県庁所在地とし、自動車工業が盛ん。トヨタ自動車の本社があり、中京工業地帯の中核を担う。,名古屋市|中京工業地帯|トヨタ自動車|自動車工業,地理-日本,地名,,1|2
福岡県,ふくおかけん,九州地方の中心都市,福岡県は九州地方の北部に位置し、人口約511万人。福岡市は九州最大の都市で、商業・交通の要衝。博多港は古くから大陸との交易の窓口として栄えた。,福岡市|博多港|九州|北九州工業地帯,地理-日本,地名,,1|2
沖縄県,おきなわけん,日本最南端の県,沖縄県は日本最南端に位置し、160の島々から成る。亜熱帯気候で、独特の文化と歴史を持つ。第二次世界大戦で地上戦が行われ、1972年に本土復帰した。,琉球王国|本土復帰|亜熱帯気候|米軍基地,地理-日本,地名,,1|2
関東平野,かんとうへいや,日本最大の平野,関東平野は日本最大の平野で、東京・埼玉・千葉・茨城にまたがる。利根川が流れ、稲作が盛ん。首都圏として人口が集中し、日本の政治・経済の中心地。,利根川|首都圏|東京|稲作,地理-日本,地名,,1|2
濃尾平野,のうびへいや,中部地方の平野,濃尾平野は木曽川・長良川・揖斐川の3つの川が作った平野。愛知県と岐阜県にまたがり、稲作が盛ん。名古屋市を中心に工業も発達している。,木曽川|長良川|揖斐川|名古屋市,地理-日本,地名,,1|2
瀬戸内海,せとないかい,本州・四国・九州に囲まれた内海,瀬戸内海は日本最大の内海で、多くの島々がある。波が穏やかで、気候は温暖少雨。古くから海上交通の要衝で、漁業や造船業が盛ん。,瀬戸内気候|しまなみ海道|牡蠣養殖|造船業,地理-日本,地名,,1|2
石狩平野,いしかりへいや,北海道最大の平野,石狩平野は北海道中央部にある日本の稲作の北限。石狩川が流れ、札幌市がある。泥炭地を開拓して水田にした。北海道の人口・産業の中心地。,石狩川|札幌市|稲作の北限|泥炭地,地理-日本,地名,,1|2
京浜工業地帯,けいひんこうぎょうちたい,東京湾沿岸の工業地帯,京浜工業地帯は東京・神奈川を中心とする日本最大の工業地帯。印刷・出版業や機械工業が盛ん。京浜は「東京」と「横浜」を合わせた呼び名。,東京湾|横浜港|機械工業|印刷業,地理-日本,地名,,1|2
日本国憲法,にほんこくけんぽう,日本の最高法規,日本国憲法は1947年に施行された日本の最高法規。国民主権・基本的人権の尊重・平和主義の三大原則を掲げる。天皇は象徴、戦争放棄を定める第9条が特徴。,三大原則|国民主権|平和主義|第9条,公民-政治,制度概念,,3
国民主権,こくみんしゅけん,国の政治の決定権が国民にあること,国民主権とは、国の政治を最終的に決定する権力が国民にあるという原則。選挙によって代表者を選び、間接民主制で政治を行う。日本国憲法の三大原則の一つ。,日本国憲法|三大原則|選挙|間接民主制,公民-政治,制度概念,,3
基本的人権,きほんてきじんけん,人間が生まれながらに持つ権利,基本的人権とは、人間が生まれながらに持つ、侵すことのできない権利。自由権・平等権・社会権・参政権・請求権の5つに分類される。憲法で保障されている。,自由権|平等権|社会権|参政権|請求権,公民-政治,制度概念,,3
平和主義,へいわしゅぎ,戦争を放棄し平和を追求する原則,平和主義は日本国憲法の三大原則の一つ。憲法第9条で戦争放棄、戦力不保持、交戦権否認を定める。第二次世界大戦の反省から生まれた日本独自の原則。,憲法第9条|戦争放棄|戦力不保持|三大原則,公民-政治,制度概念,,3
衆議院,しゅうぎいん,国会の一院,衆議院は国会を構成する二院のうちの一つ。定数465人で任期4年（解散あり）。予算の先議権、内閣不信任決議権を持ち、参議院より強い権限を持つ。,国会|二院制|参議院|解散,公民-政治,制度概念,,3
参議院,さんぎいん,国会の一院,参議院は国会を構成する二院のうちの一つ。定数248人で任期6年（解散なし、3年ごとに半数改選）。衆議院のチェック機能を果たす良識の府として機能する。,国会|二院制|衆議院|半数改選,公民-政治,制度概念,,3
内閣総理大臣,ないかくそうりだいじん,行政の最高責任者,内閣総理大臣は内閣の首長で、国会議員の中から国会の議決で指名される。国務大臣を任免し、行政各部を指揮監督する。日本の政治の最高責任者。,内閣|国務大臣|国会|行政権,公民-政治,制度概念,,3
最高裁判所,さいこうさいばんしょ,司法の最高機関,最高裁判所は日本の司法権の最高機関。違憲立法審査権を持ち「憲法の番人」と呼ばれる。長官1人と判事14人で構成され、最終的な法律判断を行う。,司法権|違憲立法審査権|憲法の番人|裁判所,公民-政治,制度概念,,3
